integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
VICTOR ALFONSO VILLAMIZAR MATEUS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001373749,0,2016-03-01, Actual,Pregrado/Universitario,Sin clasificar,0,2,0,0,0,0
VLADIMIR MINORTA CELY,Integrante,20; 4; 20; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001356949,0; 250,2012-01-01; 2019-01-01, Actual,Doctorado,Sin clasificar,2; 0,21; 0,1; 0,0; 0,0; 0,0; 0
YENNIFER GARCIA MURCIA,Integrante,10; 0; 10; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000814458,0; 728,2007-07-01; 2018-01-01, Actual,Doctorado,Sin clasificar,2; 0,2; 0,2; 0,0; 0,0; 0,1; 6
SERGIO ORREGO SUAZA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064653,1,1999-01-01, Actual,Doctorado,Sin clasificar,25,11,2,0,0,16
FLAVIO HUMBERTO MORENO HURTADO,Integrante,20; 40; 20; 40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064726,1; 2,1999-01-01; 1998-08-01, Actual,Doctorado,Investigador Senior (IS),35; 45,19; 16,2; 2,0; 0,0; 0,22; 19
CRISTIAN DAVID RAMIREZ SOSA,Integrante,20; 4; 20; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001564411,1; 364,2013-02-01; 2015-06-01, Actual,Maestría/Magister,Investigador Junior (IJ),5; 4,1; 0,0; 0,0; 0,0; 0,0; 4
DAVID ANDRES HERRERA RAMIREZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001194623,1,2012-05-01, Actual,Maestría/Magister,Sin clasificar,2,0,0,0,0,0
HARLEY QUINTO MOSQUERA,Integrante,20; 10; 20; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000788856,1; 120,2012-03-01; 2010-01-01, Actual,Doctorado,Investigador Junior (IJ),0; 12,0; 5,0; 1,0; 0,0; 0,0; 9
HECTOR IVAN RESTREPO OROZCO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000929867,1,2013-12-01, Actual,Doctorado,Sin clasificar,4,0,0,1,0,0
JORGE ANDRES GIRALDO JIMENEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001375180,1,2013-11-01, Actual,Doctorado,Sin clasificar,3,0,0,0,0,0
JORGE ANDRES RAMIREZ CORREA,Integrante,10; 5; 10; 5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000684686,1; 330,2013-11-01; 2018-01-01, Actual,Doctorado,Investigador Junior (IJ),3; 4,2; 1,0; 0,0; 0,0; 0,0; 14
JORGE IGNACIO DEL VALLE ARANGO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064599,1,1999-01-01, Actual,Doctorado,Investigador Senior (IS),47,19,1,0,0,31
LUCAS CIFUENTES GOMEZ,Integrante,15; 0; 8; 15; 0; 8; 15; 0; 8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001009184,1; 2; 3,2006-01-01; 2014-01-01; 2010-01-01, Actual,Doctorado,Sin clasificar,1; 3; 5,0; 0; 0,0; 0; 0,0; 0; 0,0; 0; 0,0; 1; 7
ANDRES CAMILO PELAEZ YEPES,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001885730,2,2019-09-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CORAL CORAL CORAL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001404464,2,2012-11-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
EDISON ALBERTO GANTIVA RAMIREZ,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001438200,2,2010-01-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
JULIO CESAR QUEVEDO JIMENEZ,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000053277,2,2016-06-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
NATALI CARO MARIN,Integrante,48,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001796352,2,2020-07-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
MARIA CLAUDIA DIEZ GOMEZ,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064700,2,2021-01-01, Actual,Doctorado,Sin clasificar,22,17,3,0,0,28
JUAN DIEGO LEON PELAEZ,Integrante,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000064734,3,2010-01-01, Actual,Doctorado,Investigador Senior (IS),39,7,1,0,0,58
