integrantes,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
SERGIO ANDRES CARDONA PLAZAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001825892,60,2020-11-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
VICTOR ANDRES GALINDO CANABAL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000148920,60,2012-09-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
JUAN CARLOS CASAS ZAPATA,Integrante,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000093076,61,2004-01-01, Actual,Doctorado,Investigador Asociado (I),11,6,0,0,0,32
ANGELA SOFIA GOMEZ LOPEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000055985,61,2016-05-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CAROLINA FERNANDEZ TULANDE,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001573872,61,2014-01-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
CESAR FERNANDEZ MORANTES,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001246984,61,2020-01-01, Actual,Doctorado,Sin clasificar,2,0,0,0,0,0
CRISTIAN DAVID MUNOZ PAZ,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001558642,61,2014-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
DAMIAN JOSE GABRIEL MARINO,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001844188,61,2019-01-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
DANIEL ALEJANDRO HOYOS LOPEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000153957,61,2019-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
DORA MARCELA BENITEZ RAMIREZ,Integrante,0; 4; 0; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001481292,61; 326,2018-01-01; 2020-02-01, Actual,Maestría/Magister,Sin clasificar,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0
EDGAR ALEXANDER RODRIGUEZ CASTIBLANCO,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000010581,61,2020-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
EDNA ROCIO CABRERA MARTINEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000406368,61,2018-02-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
EDWIN RENGIFO CANIZALES,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000695211,61,2019-01-01, Actual,Maestría/Magister,Sin clasificar,0,3,0,0,0,0
EFREN VENANCIO RAMOS CABRERA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001488592,61,2017-01-01, Actual,Doctorado,Investigador Junior (IJ),0,0,0,0,0,0
ENIF MEDINA BELLO,Integrante,40; 40; 40; 40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009955,61; 236,2020-01-01; 2015-01-01, Actual,Maestría/Magister,Sin clasificar,0; 0,0; 0,0; 3,0; 0,0; 0,0; 0
FABIAN ALBERTO RUIZ GUZMAN,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001572306,61,2013-06-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,2
JAIME RESTREPO GIRALDO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001082124,61,2019-07-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
JUAN PABLO SERNA LOPEZ,Integrante,40; 8; 40; 8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001502327,61; 286,2011-01-01; 2016-01-01, Actual,Doctorado,Sin clasificar,1; 4,0; 0,0; 0,0; 1,0; 0,0; 1
LAURA VICTORIA MAMIAN LOPEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000473898,61,2016-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
LINA VANESA GARCIA PENA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472310,61,2014-01-01, Actual,Pregrado/Universitario,Sin clasificar,3,0,0,0,0,0
MAIRA LISETH CHARRY BOCANEGRA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001583473,61,2014-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
NASLY YANID DELGADO ESPINOSA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001437370,61,2004-01-01, Actual,Doctorado,Sin clasificar,3,0,0,0,0,6
NAZLY EFREDIS SANCHEZ PENA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000835994,61,2012-01-01, Actual,Doctorado,Investigador Junior (IJ),2,0,0,0,0,3
PAOLA ANDREA RIVERA CHANTRE,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001712994,61,2018-01-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
RICARDO ANDRES ROSERO GARCES,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001437776,61,2016-04-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
WILSON ANDRES BETANCOURT VILLALOBOS,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000889237,61,2013-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,30
YINA FERNANDA JIMENEZ CERON,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001571946,61,2013-11-01, Actual,Pregrado/Universitario,Sin clasificar,1,4,0,0,0,2
YURY LIZETH BERMEO GONZALEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000153623,61,2019-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
ZULY YULIANA DELGADO ESPINOSA,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001459435,61,2017-01-01, Actual,Doctorado,Investigador Junior (IJ),0,0,0,0,0,0
MAURICIO LINARES PORTO,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000092835,62,1996-12-01, Actual,Doctorado,Investigador Senior (IS),29,1,0,0,0,34
CARLOS FRANCISCO ARIAS MEJIA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000454702,62,2013-02-01, Actual,Doctorado,Sin clasificar,4,0,0,0,0,0
CHRIS JIGGINS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000192937,62,2001-12-01, Actual,Doctorado,Sin clasificar,38,0,0,0,0,0
JAMES MALLET,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000195910,62,1996-12-01, Actual,Doctorado,Sin clasificar,10,0,0,0,0,0
MARIA FERNANDA GONZALEZ ROJAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001038850,62,2015-01-01, Actual,Doctorado,Sin clasificar,1,0,0,0,0,0
OWEN MCMILLAN,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000349461,62,2004-01-01, Actual,Doctorado,Sin clasificar,17,0,0,0,0,0
LUZ ANGELA ROCHA SALAMANCA,Integrante,6; 10; 6; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000482803,63; 490,2002-02-01; 2011-06-01, Actual,Doctorado,Investigador Junior (IJ),14; 1,2; 1,1; 0,0; 0,2; 0,52; 2
HECTOR JAVIER FUENTES LOPEZ,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000906018,63,2006-08-01, Actual,Maestría/Magister,Sin clasificar,41,1,1,0,0,9
ALVARO ENRIQUE ORTIZ DAVILA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000811718,63,2009-06-01, Actual,Doctorado,Sin clasificar,11,1,0,0,0,10
ANDRES CARDENAS CONTRERAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000482820,63,2002-03-01, Actual,Maestría/Magister,Sin clasificar,9,0,3,0,0,12
CARLOS EDUARDO MELO MARTINEZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001311905,63,2015-08-01, Actual,Doctorado,Investigador Asociado (I),18,1,2,2,0,36
CARLOS HERNAN CASTRO ORTEGA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000330817,63,2006-10-01, Actual,Maestría/Magister,Sin clasificar,4,1,1,0,0,17
CESAR ROJAS JIMENEZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000535362,63,2020-05-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
CLAUDIA HUERTAS,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001325914,63,2014-11-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
DIEGO FERNANDO RODRIGUEZ LAMUS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000158544,63,2018-02-01, Actual,Pregrado/Universitario,Sin clasificar,2,0,0,0,0,0
EDILBERTO SUAREZ TORRES,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000524336,63,2003-05-01, Actual,Maestría/Magister,Sin clasificar,2,0,0,0,0,5
HECTOR RICARDO PATINO RIVERA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001646188,63,2018-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
IVAN LIZARAZO SALCEDO,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000524166,63,2000-01-01, Actual,Doctorado,Investigador Asociado (I),18,2,3,0,0,40
JANNETH PARDO PINZON,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001386410,63,2008-01-01, Actual,Maestría/Magister,Sin clasificar,4,0,0,0,0,13
JAVIER ORLANDO FERNANDEZ CAMPOS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000187107,63,2020-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
JILLIAN PEARSE,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001556274,63,2014-04-01, Actual,Doctorado,Sin clasificar,3,0,0,0,0,4
JOHAN ANDRES AVENDANO ARIAS,Integrante,4; 1; 4; 1,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001357693,63; 490,2020-05-01; 2009-02-01, Actual,Doctorado,Investigador Junior (IJ),3; 7,1; 7,0; 0,0; 0,0; 0,0; 11
JOSE ANDELFO LIZCANO CARO,Integrante,10; ; 10; ,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000594822,63; 421,2016-11-01; 2009-05-01, Actual,Doctorado,Investigador Junior (IJ),3; 17,0; 1,0; 2,0; 2,0; 0,0; 103
JOSE ANTONIO VALERO MEDINA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000145572,63,2005-02-01, Actual,Doctorado,Sin clasificar,9,0,0,0,0,4
JOSE LUIS HERRERA ESCORCIA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000001504,63,1999-02-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,4
KAREN YULIETH RAYO BERMUDEZ,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001769032,63,2020-02-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
LAURA JUANITA BECERRA GARCIA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000132066,63,2018-08-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
LUIS MANUEL GUERRERO BUELVAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001601583,63,2019-08-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
MAURICIO FERNANDO ROCHA SALAMANCA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001634327,63,2014-02-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
PAOLA ANDREA SUAREZ JAIMES,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000103099,63,2020-06-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
ROBERT ANDRES PULIDO ARIAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000119067,63,2018-08-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
RUBEN JAVIER MEDINA DAZA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000269387,63,2000-02-01, Actual,Doctorado,Investigador Asociado (I),21,3,1,1,0,10
SALOMON EISTEIN RAMIREZ FERNANDEZ,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001454284,63,2013-05-01, Actual,Maestría/Magister,Sin clasificar,4,0,0,1,0,58
TANIA LORENA RUIZ MORALES,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001732984,63,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,1,0,0,0,0,0
WILLIAN ANTONIO PACHON RODRIGUEZ,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001362694,63,2020-06-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
MARIA DEL PILAR GARCIA PACHON,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000178330,64,1999-03-01, Actual,Doctorado,Investigador Asociado (I),0,40,1,0,0,11
ALVARO HERNANDO CARDONA GONZALEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001379136,64,2009-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),0,26,0,0,0,0
ANGELA MARIA AMAYA ARIAS,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001431288,64,2010-06-01, Actual,Doctorado,Investigador Asociado (I),1,23,2,0,0,16
CAROLINA MONTES CORTES,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000178292,64,2001-10-01, Actual,Doctorado,Investigador Junior (IJ),0,47,1,0,0,15
CLAUDIA MARIA GAFNER ROJAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001459285,64,2012-01-01, Actual,Doctorado,Investigador Junior (IJ),1,21,1,0,0,4
CONSTANZA BEJARANO RAMOS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001627874,64,2015-04-01, Actual,Maestría/Magister,Sin clasificar,0,10,0,0,0,1
DIANA GERALDINE QUEVEDO NINO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001740420,64,2018-06-01, Actual,Pregrado/Universitario,Sin clasificar,1,9,0,0,0,0
EDUARDO DEL VALLE MORA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000071381,64,2015-06-01, Actual,Maestría/Magister,Investigador Junior (IJ),0,16,2,0,0,6
GLORIA LUCIA ALVAREZ PINZON,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001157400,64,2007-03-01, Actual,Especialización,Sin clasificar,0,17,0,0,0,3
JAVIER ALFREDO MOLINA ROA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000086205,64,2016-01-01, Actual,Maestría/Magister,Sin clasificar,0,7,1,0,0,3
JORGE IVAN HURTADO MORA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000479500,64,2007-03-01, Actual,Especialización,Investigador Asociado (I),0,24,0,0,0,9
JUAN DAVID UBAJOA OSSO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000023965,64,2015-09-01, Actual,Doctorado,Sin clasificar,0,10,0,0,0,2
JULIANA HURTADO RASSI,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001627869,64,2014-04-01, Actual,Doctorado,Investigador Junior (IJ),0,14,1,0,0,2
LUIS FELIPE GUZMAN JIMENEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001623251,64,2015-01-01, Actual,Doctorado,Investigador Junior (IJ),2,26,2,0,0,3
MARIA DANIELA DE LA ROSA CALDERON,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001676067,64,2017-10-01, Actual,Especialización,Sin clasificar,0,10,0,0,0,0
OSCAR DARIO AMAYA NAVAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000178284,64,1999-03-01, Actual,Doctorado,Investigador Junior (IJ),1,36,4,0,0,9
WILLIAM IVAN GALLO APONTE,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001667186,64,2018-06-01, Actual,Maestría/Magister,Sin clasificar,6,9,2,0,0,0
ALEX MAURICIO JIMENEZ ORTEGA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005975,65,2000-01-01, Actual,Doctorado,Investigador Junior (IJ),41,11,17,7,0,36
ORFELINA RIOS MEDINA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000610933,65,2007-01-01, Actual,Maestría/Magister,Sin clasificar,2,3,9,2,0,3
ALFARO ANTONIO ASPRILLA AGUILAR,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000751871,65,2005-09-01, Actual,Maestría/Magister,Sin clasificar,1,3,3,0,0,2
HUGO MANTILLA MELUK,Integrante,10; 0; 10; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000004660,65; 678,2008-01-01; 2019-05-01, Actual,Doctorado,Investigador Asociado (I),43; 9,4; 0,1; 0,0; 0,0; 0,0; 0
LEISON PALACIOS MOSQUERA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001347160,65,2010-01-01, Actual,Maestría/Magister,Investigador Junior (IJ),7,0,8,0,0,6
VALENTINA AGUDELO JIMENEZ,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000015509,65,2013-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,2,0,0,0
VICTOR DANILO PALACIOS MAYORAL,Integrante,6; 5; 6; 5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000012944,65; 449,2019-01-01; 2016-06-01, Actual,Pregrado/Universitario,Sin clasificar,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0
YUCELY DEL CARMEN COPETE MOSQUERA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001541075,65,2012-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,1,0,0,1
JORGE ALBERTO VELASQUEZ JIMENEZ,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000105031,66,1997-08-01, Actual,Doctorado,Investigador Senior (IS),44,3,1,12,0,18
GERMAN CAMILO QUINTANA MARIN,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000044423,66,2007-01-01, Actual,Doctorado,Investigador Senior (IS),31,1,0,1,0,9
HADER HUMBERTO ALZATE GIL,Integrante,16,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000303135,66,2006-06-01, Actual,Doctorado,Sin clasificar,9,0,0,0,0,3
JORGE HERNAN SANCHEZ TORO,Integrante,16,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000270113,66,2010-01-01, Actual,Doctorado,Investigador Junior (IJ),15,1,0,0,0,0
JORGE JUAN DAVID MARTINEZ ARBOLEDA,Integrante,16,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000380288,66,2012-04-01, Actual,Doctorado,Sin clasificar,4,0,0,0,0,0
LUIS ALEJANDRO FORERO GAVIRIA,Integrante,16,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001017306,66,2014-02-01, Actual,Doctorado,Investigador Junior (IJ),19,0,0,2,0,3
OSCAR HUMBERTO PINERES QUINONES,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001594567,66,2018-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
VIVIANA GOMEZ CEBALLOS,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000071024,66,2017-09-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
DIEGO PAREDES CUERVO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000091340,67,1999-01-01, Actual,Doctorado,Investigador Asociado (I),27,1,1,0,0,46
JHONIERS GILBERTO GUERRERO ERAZO,Integrante,20; 3; 20; 3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000227196,67; 134,1999-01-01; 2003-08-01, Actual,Doctorado,Sin clasificar,16; 5,0; 0,5; 0,2; 0,0; 0,35; 3
ADRIANA MARCELA RUIZ SANCHEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001514463,67,2015-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
ALVARO IGNACIO RAMIREZ FAJARDO,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001374527,67,2010-02-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,20
ANA MARIA BUITRAGO RAMIREZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001577219,67,2016-03-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
BIS DAVINSON BEDOYA GOMEZ,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001729539,67,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CARLOS ALBERTO RIVERA OCAMPO,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001701521,67,2017-01-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CRISTHIAN ALFREDO GALEANO LEON,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001603852,67,2013-03-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
DANI LUZ CORDOBA RENTERIA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001784256,67,2020-02-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
DANIELA RUIZ GRISALES,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001621238,67,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
DARWIN EDISON HERNANDEZ SEPULVEDA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000223719,67,2015-01-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,43
DERLY DEL SOCORRO ZULETA LEMUS,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001450395,67,2010-01-01, Actual,Maestría/Magister,Sin clasificar,1,0,1,0,0,0
ESTEFANIA OSORIO CAICEDO,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001782670,67,2019-02-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
GEAN CARLOS FRANCO FRANCO,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001783932,67,2018-02-01, Actual,Técnico,Sin clasificar,0,0,0,0,0,0
GUILLERMO ANDRES FUENTES BARRERA,Integrante,20; 0; 20; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000623911,67; 134,2015-01-01; 2013-11-01, Actual,Maestría/Magister,Sin clasificar,2; 1,0; 0,0; 0,0; 0,0; 0,0; 0
JANNETH ASTRID CUBILLOS VARGAS,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000414840,67,2010-01-01, Actual,Maestría/Magister,Investigador Asociado (I),6,0,0,0,0,25
JEAN PAUL ZULETA AGUDELO,Integrante,40,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001729499,67,2020-06-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
